HGT_ID,Sequence_query,Sequence_subject,query_congtig_id,subject_contig_id,MAG 1,MAG 2,q_start,q_end,s_start,s_end,query_length,subject_length,Length,Identity,End Match,Full Match,details
HGT_seq_27,NODE_16_length_20571_cov_14.790992_16437_18954,NODE_1492_length_6981_cov_22.448599_6886_4367,NODE_16_length_20571_cov_14.790992,NODE_1492_length_6981_cov_22.448599,s_9002000001247124_37.permissive.fa,s_9002000001479951_31.orig.fa,16437,18954,6886,4367,20571,6981,2524,99.128,False,False,"['NODE_16_length_20571_cov_14.790992', 16437, 18954, 2524, 's_9002000001247124_37.permissive.fa', 'NODE_1492_length_6981_cov_22.448599', 6886, 4367, 's_9002000001479951_31.orig.fa']"
HGT_seq_28,NODE_3_length_22155_cov_12.689548_4966_19404,NODE_30_length_14439_cov_10.163376_1_14439,NODE_3_length_22155_cov_12.689548,NODE_30_length_14439_cov_10.163376,s_9002000001215917_3.strict.fa,s_9002000001392831_7.strict.fa,4966,19404,1,14439,22155,14439,14439,99.287,False,True,"['NODE_3_length_22155_cov_12.689548', 4966, 19404, 14439, 's_9002000001215917_3.strict.fa', 'NODE_30_length_14439_cov_10.163376', 1, 14439, 's_9002000001392831_7.strict.fa']"
HGT_seq_29,NODE_31_length_9381_cov_16.044606_339_9381,NODE_19_length_18033_cov_12.956892_1578_10620,NODE_31_length_9381_cov_16.044606,NODE_19_length_18033_cov_12.956892,s_9002000001373308_1.strict.fa,s_9002000001456330_2.permissive.fa,339,9381,1578,10620,9381,18033,9043,99.314,False,True,"['NODE_31_length_9381_cov_16.044606', 339, 9381, 9043, 's_9002000001373308_1.strict.fa', 'NODE_19_length_18033_cov_12.956892', 1578, 10620, 's_9002000001456330_2.permissive.fa']"
HGT_seq_30,NODE_112_length_5192_cov_11.730387_1579_5192,NODE_46_length_12426_cov_19.496565_12426_8813,NODE_112_length_5192_cov_11.730387,NODE_46_length_12426_cov_19.496565,s_9002000001215917_3.strict.fa,s_9002000001343701_48.permissive.fa,1579,5192,12426,8813,5192,12426,3614,99.64,True,False,"['NODE_112_length_5192_cov_11.730387', 1579, 5192, 3614, 's_9002000001215917_3.strict.fa', 'NODE_46_length_12426_cov_19.496565', 12426, 8813, 's_9002000001343701_48.permissive.fa']"
HGT_seq_31,NODE_199_length_3133_cov_14.319038_116_2234,NODE_175_length_3346_cov_6.537830_3346_1228,NODE_199_length_3133_cov_14.319038,NODE_175_length_3346_cov_6.537830,s_9002000001373308_1.strict.fa,s_9002000001447950_2.strict.fa,116,2234,3346,1228,3133,3346,2119,99.528,False,False,"['NODE_199_length_3133_cov_14.319038', 116, 2234, 2119, 's_9002000001373308_1.strict.fa', 'NODE_175_length_3346_cov_6.537830', 3346, 1228, 's_9002000001447950_2.strict.fa']"
HGT_seq_32,NODE_3_length_32329_cov_14.628432_8686_11723,NODE_121_length_3095_cov_16.975329_4_3041,NODE_3_length_32329_cov_14.628432,NODE_121_length_3095_cov_16.975329,s_9002000001247124_37.permissive.fa,s_9002000001287540_19.strict.fa,8686,11723,4,3041,32329,3095,3038,99.44,False,True,"['NODE_3_length_32329_cov_14.628432', 8686, 11723, 3038, 's_9002000001247124_37.permissive.fa', 'NODE_121_length_3095_cov_16.975329', 4, 3041, 's_9002000001287540_19.strict.fa']"
HGT_seq_33,NODE_19_length_12654_cov_14.835146_1_10597,NODE_18_length_12006_cov_20.143503_1410_12006,NODE_19_length_12654_cov_14.835146,NODE_18_length_12006_cov_20.143503,s_9002000001373308_1.strict.fa,s_9002000001455931_25.permissive.fa,1,10597,1410,12006,12654,12006,10597,99.5,True,False,"['NODE_19_length_12654_cov_14.835146', 1, 10597, 10597, 's_9002000001373308_1.strict.fa', 'NODE_18_length_12006_cov_20.143503', 1410, 12006, 's_9002000001455931_25.permissive.fa']"
HGT_seq_34,NODE_8_length_17934_cov_12.009676_190_2514,NODE_223_length_2325_cov_11.753304_1_2325,NODE_8_length_17934_cov_12.009676,NODE_223_length_2325_cov_11.753304,s_9002000001215917_3.strict.fa,s_9002000001446502_20.permissive.fa,190,2514,1,2325,17934,2325,2325,99.054,True,True,"['NODE_8_length_17934_cov_12.009676', 190, 2514, 2325, 's_9002000001215917_3.strict.fa', 'NODE_223_length_2325_cov_11.753304', 1, 2325, 's_9002000001446502_20.permissive.fa']"
HGT_seq_35,NODE_115_length_4992_cov_13.828438_1_1711,NODE_130_length_4678_cov_7.145793_2969_4678,NODE_115_length_4992_cov_13.828438,NODE_130_length_4678_cov_7.145793,s_9002000001247124_37.permissive.fa,s_9002000001392831_7.strict.fa,1,1711,2969,4678,4992,4678,1711,99.065,True,False,"['NODE_115_length_4992_cov_13.828438', 1, 1711, 1711, 's_9002000001247124_37.permissive.fa', 'NODE_130_length_4678_cov_7.145793', 2969, 4678, 's_9002000001392831_7.strict.fa']"
HGT_seq_36,NODE_19_length_12654_cov_14.835146_1_4960,NODE_95_length_6342_cov_10.115158_4960_1,NODE_19_length_12654_cov_14.835146,NODE_95_length_6342_cov_10.115158,s_9002000001373308_1.strict.fa,s_9002000001392831_7.strict.fa,1,4960,4960,1,12654,6342,4960,99.395,True,False,"['NODE_19_length_12654_cov_14.835146', 1, 4960, 4960, 's_9002000001373308_1.strict.fa', 'NODE_95_length_6342_cov_10.115158', 4960, 1, 's_9002000001392831_7.strict.fa']"
HGT_seq_37,NODE_291_length_1778_cov_19.901915_1_1778,NODE_28_length_16125_cov_19.536030_8104_9881,NODE_291_length_1778_cov_19.901915,NODE_28_length_16125_cov_19.536030,s_9002000001373308_1.strict.fa,s_9002000001473223_36.strict.fa,1,1778,8104,9881,1778,16125,1778,99.944,False,True,"['NODE_291_length_1778_cov_19.901915', 1, 1778, 1778, 's_9002000001373308_1.strict.fa', 'NODE_28_length_16125_cov_19.536030', 8104, 9881, 's_9002000001473223_36.strict.fa']"
HGT_seq_38,NODE_113_length_5359_cov_8.333145_3558_5359,NODE_285_length_1854_cov_8.733185_1854_53,NODE_113_length_5359_cov_8.333145,NODE_285_length_1854_cov_8.733185,s_9002000001334186_16.strict.fa,s_9002000001373308_1.strict.fa,3558,5359,1854,53,5359,1854,1802,99.556,True,True,"['NODE_113_length_5359_cov_8.333145', 3558, 5359, 1802, 's_9002000001334186_16.strict.fa', 'NODE_285_length_1854_cov_8.733185', 1854, 53, 's_9002000001373308_1.strict.fa']"
HGT_seq_39,NODE_28_length_12384_cov_13.669478_1_4585,NODE_23_length_19119_cov_6.646034_14538_19119,NODE_28_length_12384_cov_13.669478,NODE_23_length_19119_cov_6.646034,s_9002000001215917_3.strict.fa,s_9002000001567974_27.permissive.fa,1,4585,14538,19119,12384,19119,4585,99.084,True,False,"['NODE_28_length_12384_cov_13.669478', 1, 4585, 4585, 's_9002000001215917_3.strict.fa', 'NODE_23_length_19119_cov_6.646034', 14538, 19119, 's_9002000001567974_27.permissive.fa']"
HGT_seq_40,NODE_231_length_1685_cov_7.846012_19_1685,NODE_573_length_8628_cov_12.589525_8626_6959,NODE_231_length_1685_cov_7.846012,NODE_573_length_8628_cov_12.589525,s_9002000001247124_37.permissive.fa,s_9002000001433400_13.orig.fa,19,1685,8626,6959,1685,8628,1668,99.46,True,True,"['NODE_231_length_1685_cov_7.846012', 19, 1685, 1668, 's_9002000001247124_37.permissive.fa', 'NODE_573_length_8628_cov_12.589525', 8626, 6959, 's_9002000001433400_13.orig.fa']"
HGT_seq_41,NODE_31_length_9381_cov_16.044606_356_9381,NODE_3_length_19373_cov_10.237913_17783_8758,NODE_31_length_9381_cov_16.044606,NODE_3_length_19373_cov_10.237913,s_9002000001373308_1.strict.fa,s_9002000001410650_3.permissive.fa,356,9381,17783,8758,9381,19373,9026,99.313,False,True,"['NODE_31_length_9381_cov_16.044606', 356, 9381, 9026, 's_9002000001373308_1.strict.fa', 'NODE_3_length_19373_cov_10.237913', 17783, 8758, 's_9002000001410650_3.permissive.fa']"
HGT_seq_42,NODE_6563_length_3414_cov_14.409348_1_3414,NODE_119_length_4836_cov_15.973227_4819_1408,NODE_6563_length_3414_cov_14.409348,NODE_119_length_4836_cov_15.973227,s_9002000001312311_33.orig.fa,s_9002000001373308_1.strict.fa,1,3414,4819,1408,3414,4836,3414,99.649,True,True,"['NODE_6563_length_3414_cov_14.409348', 1, 3414, 3414, 's_9002000001312311_33.orig.fa', 'NODE_119_length_4836_cov_15.973227', 4819, 1408, 's_9002000001373308_1.strict.fa']"
HGT_seq_43,NODE_214_length_3042_cov_8.611316_11_3042,NODE_133_length_3990_cov_5.842694_1_3032,NODE_214_length_3042_cov_8.611316,NODE_133_length_3990_cov_5.842694,s_9002000001373308_1.strict.fa,s_9002000001467905_4.permissive.fa,11,3042,1,3032,3042,3990,3032,99.736,True,True,"['NODE_214_length_3042_cov_8.611316', 11, 3042, 3032, 's_9002000001373308_1.strict.fa', 'NODE_133_length_3990_cov_5.842694', 1, 3032, 's_9002000001467905_4.permissive.fa']"
HGT_seq_44,NODE_285_length_1854_cov_8.733185_18_1854,NODE_135_length_4370_cov_10.590962_1_1837,NODE_285_length_1854_cov_8.733185,NODE_135_length_4370_cov_10.590962,s_9002000001373308_1.strict.fa,s_9002000001456330_2.permissive.fa,18,1854,1,1837,1854,4370,1837,99.565,True,True,"['NODE_285_length_1854_cov_8.733185', 18, 1854, 1837, 's_9002000001373308_1.strict.fa', 'NODE_135_length_4370_cov_10.590962', 1, 1837, 's_9002000001456330_2.permissive.fa']"
HGT_seq_45,NODE_189_length_2658_cov_9.721091_628_2658,NODE_151_length_2917_cov_10.131726_77_2107,NODE_189_length_2658_cov_9.721091,NODE_151_length_2917_cov_10.131726,s_9002000001247124_37.permissive.fa,s_9002000001462195_20.permissive.fa,628,2658,77,2107,2658,2917,2031,99.705,True,False,"['NODE_189_length_2658_cov_9.721091', 628, 2658, 2031, 's_9002000001247124_37.permissive.fa', 'NODE_151_length_2917_cov_10.131726', 77, 2107, 's_9002000001462195_20.permissive.fa']"
HGT_seq_46,NODE_112_length_5192_cov_11.730387_2540_5192,NODE_136_length_3813_cov_7.204364_3813_1161,NODE_112_length_5192_cov_11.730387,NODE_136_length_3813_cov_7.204364,s_9002000001215917_3.strict.fa,s_9002000001416675_19.permissive.fa,2540,5192,3813,1161,5192,3813,2653,99.623,True,False,"['NODE_112_length_5192_cov_11.730387', 2540, 5192, 2653, 's_9002000001215917_3.strict.fa', 'NODE_136_length_3813_cov_7.204364', 3813, 1161, 's_9002000001416675_19.permissive.fa']"
HGT_seq_47,NODE_288_length_1823_cov_7.101244_1_1823,NODE_86_length_6868_cov_9.081609_5792_3971,NODE_288_length_1823_cov_7.101244,NODE_86_length_6868_cov_9.081609,s_9002000001373308_1.strict.fa,s_9002000001462195_20.permissive.fa,1,1823,5792,3971,1823,6868,1824,99.232,False,True,"['NODE_288_length_1823_cov_7.101244', 1, 1823, 1824, 's_9002000001373308_1.strict.fa', 'NODE_86_length_6868_cov_9.081609', 5792, 3971, 's_9002000001462195_20.permissive.fa']"
HGT_seq_48,NODE_12_length_16262_cov_13.694700_8705_16262,NODE_28_length_16125_cov_19.536030_1_7522,NODE_12_length_16262_cov_13.694700,NODE_28_length_16125_cov_19.536030,s_9002000001215917_3.strict.fa,s_9002000001473223_36.strict.fa,8705,16262,1,7522,16262,16125,7558,99.008,True,False,"['NODE_12_length_16262_cov_13.694700', 8705, 16262, 7558, 's_9002000001215917_3.strict.fa', 'NODE_28_length_16125_cov_19.536030', 1, 7522, 's_9002000001473223_36.strict.fa']"
HGT_seq_49,NODE_108_length_5052_cov_14.960376_1_1440,NODE_136_length_3813_cov_7.204364_1440_1,NODE_108_length_5052_cov_14.960376,NODE_136_length_3813_cov_7.204364,s_9002000001373308_1.strict.fa,s_9002000001416675_19.permissive.fa,1,1440,1440,1,5052,3813,1440,99.236,True,False,"['NODE_108_length_5052_cov_14.960376', 1, 1440, 1440, 's_9002000001373308_1.strict.fa', 'NODE_136_length_3813_cov_7.204364', 1440, 1, 's_9002000001416675_19.permissive.fa']"
HGT_seq_50,NODE_157_length_3986_cov_10.426100_1_2138,NODE_137_length_3869_cov_4.647090_1262_3397,NODE_157_length_3986_cov_10.426100,NODE_137_length_3869_cov_4.647090,s_9002000001373308_1.strict.fa,s_9002000001467905_4.permissive.fa,1,2138,1262,3397,3986,3869,2139,99.532,False,False,"['NODE_157_length_3986_cov_10.426100', 1, 2138, 2139, 's_9002000001373308_1.strict.fa', 'NODE_137_length_3869_cov_4.647090', 1262, 3397, 's_9002000001467905_4.permissive.fa']"
HGT_seq_51,NODE_277_length_2018_cov_7.574631_1_1567,NODE_254_length_1957_cov_4.786540_391_1957,NODE_277_length_2018_cov_7.574631,NODE_254_length_1957_cov_4.786540,s_9002000001373308_1.strict.fa,s_9002000001467905_4.permissive.fa,1,1567,391,1957,2018,1957,1567,99.809,True,False,"['NODE_277_length_2018_cov_7.574631', 1, 1567, 1567, 's_9002000001373308_1.strict.fa', 'NODE_254_length_1957_cov_4.786540', 391, 1957, 's_9002000001467905_4.permissive.fa']"
HGT_seq_52,NODE_126_length_4597_cov_18.942536_1_4597,NODE_32_length_9955_cov_9.153939_4038_8634,NODE_126_length_4597_cov_18.942536,NODE_32_length_9955_cov_9.153939,s_9002000001373308_1.strict.fa,s_9002000001447950_2.strict.fa,1,4597,4038,8634,4597,9955,4597,99.391,False,True,"['NODE_126_length_4597_cov_18.942536', 1, 4597, 4597, 's_9002000001373308_1.strict.fa', 'NODE_32_length_9955_cov_9.153939', 4038, 8634, 's_9002000001447950_2.strict.fa']"
HGT_seq_53,NODE_19_length_12654_cov_14.835146_1_12654,NODE_414_length_25414_cov_29.220868_23844_11191,NODE_19_length_12654_cov_14.835146,NODE_414_length_25414_cov_29.220868,s_9002000001373308_1.strict.fa,s_9002000001479951_31.orig.fa,1,12654,23844,11191,12654,25414,12654,99.431,False,True,"['NODE_19_length_12654_cov_14.835146', 1, 12654, 12654, 's_9002000001373308_1.strict.fa', 'NODE_414_length_25414_cov_29.220868', 23844, 11191, 's_9002000001479951_31.orig.fa']"
